"","PLZ","WOBFS","Region"
"1029",3251,394,3
"1030",3293,386,3
"1031",8006,261,4
"1032",8048,261,4
"1033",8050,261,4
"1034",8052,261,4
"1035",8154,92,4
"1036",8166,91,4
"1037",8172,89,4
"1038",9100,3001,2
"1039",9100,3001,2
"1040",9107,3006,2
"1041",4436,2892,3
"1042",4437,2895,3
"1043",4443,2867,3
"1044",4057,2701,3
"1045",2117,6504,1
"1046",1124,5484,1
"1047",1127,5629,1
"1048",1145,5425,1
"1049",2350,6757,1
"1050",1202,6621,1
"1051",1202,6621,1
"1052",1203,6621,1
"1053",1204,6621,1
"1054",1205,6621,1
"1055",1237,6603,1
"1056",2900,6800,1
"1057",2900,6800,1
"1058",2610,443,1
"1059",2855,6729,1
"1060",2863,6729,1
"1061",1092,5581,1
"1062",1264,5727,1
"1063",1023,5583,1
"1064",1024,5635,1
"1065",1870,6153,1
"1066",1870,6153,1
"1067",1820,5886,1
"1068",1820,5886,1
"1069",1820,5886,1
"1070",1963,6025,1
"1071",1996,6024,1
"1072",2000,6458,1
"1073",2000,6458,1
"1074",2000,6458,1
"1075",2068,6454,1
"1076",2074,6461,1
"1077",2088,6452,1
"1078",1965,6265,1
"1079",2414,6434,1
"1080",2300,6421,1
"1081",1004,5586,1
"1082",1005,5586,1
"1083",1052,5587,1
"1084",1052,5587,1
"1085",1066,5584,1
"1086",1337,5764,1
"1087",1350,5757,1
"1088",1400,5938,1
"1089",1400,5938,1
"1090",1406,5910,1
"1091",1407,5913,1
"1092",1530,5822,1
"1093",1846,5403,1
"1094",1854,5407,1
"1095",1637,2163,1
"1096",1908,6139,1
"1097",1926,6133,1
"1098",1532,2016,1
"1099",1564,2053,1
"1100",1053,5516,1
"1101",5467,4306,4
"1102",6170,1008,2
"1103",5000,4001,4
"1104",1217,6630,1
"1105",1202,6621,1
"1106",4312,4253,3
"1107",1868,6152,1
"1108",4497,2860,3
"1109",1815,5886,1
"1110",1242,6638,1
"1111",3653,934,2
"1112",9032,3442,2
"1113",4434,2886,3
"1114",5722,4006,4
"1115",3963,6240,1
"1116",1623,2336,1
"1117",1110,5642,1
"1118",8404,230,4
"1119",6533,5010,5
"1120",5200,4095,4
"1121",1205,6621,1
"1122",8712,158,4
"1123",4515,2553,3
"1124",8630,118,4
"1125",3013,351,3
"1126",2017,6404,1
"1127",6900,5192,5
"1128",6598,5131,5
"1129",5000,4001,4
"1130",6500,5002,5
"1131",6340,1701,2
"1132",3076,627,3
"1133",1820,5886,1
"1134",6900,5192,5
"1135",8583,4506,4
"1136",3822,584,2
"1137",4600,2581,3
"1138",6983,5193,5
"1139",4514,2551,3
"1140",8427,68,4
"1141",1772,2200,1
"1142",6648,5118,5
"1143",3008,351,3
"1144",8472,227,4
"1145",3700,768,2
"1146",6983,5193,5
"1147",3612,939,2
"1148",8037,261,4
"1149",5213,4122,4
"1150",9542,4746,4
"1151",6850,5254,5
"1152",6900,5192,5
"1153",1941,6037,1
"1154",1475,2054,1
"1155",1658,5842,1
"1156",6934,5151,5
"1157",6300,1711,2
"1158",5600,4201,4
"1159",8623,121,4
"1160",5610,4082,4
"1161",8006,261,4
"1162",1063,5693,1
"1163",6055,1401,2
"1164",6382,1508,2
"1165",4515,2553,3
"1166",5603,4210,4
"1167",9300,3204,2
"1168",1400,5938,1
"1169",6900,5192,5
"1170",6500,5002,5
"1171",8037,261,4
"1172",4656,2584,3
"1173",6512,5002,5
"1174",4563,2519,3
"1175",8575,4911,4
"1176",9100,3001,2
"1177",1376,5541,1
"1178",9650,3360,2
"1179",8475,37,4
"1180",6154,1135,2
"1181",8908,5,4
"1182",6052,1507,2
"1183",1003,5586,1
"1184",8155,90,4
"1185",6463,1205,2
"1186",2034,6458,1
"1187",8400,230,4
"1188",1090,5606,1
"1189",6216,1091,2
"1190",1203,6621,1
"1191",1926,6133,1
"1192",8956,4030,4
"1193",6315,1706,2
"1194",1844,5414,1
"1195",2500,371,3
"1196",4710,2422,3
"1197",6600,5113,5
"1198",6003,1061,2
"1199",8753,1630,2
"1200",1994,6024,1
"1201",3362,982,3
"1202",3125,884,3
"1203",4105,2764,3
"1204",4665,4280,3
"1205",4332,4260,3
"1206",6900,5192,5
"1207",3005,351,3
"1208",8038,261,4
"1209",8052,261,4
"1210",1617,2333,1
"1211",9242,3407,2
"1212",3007,351,3
"1213",3436,905,3
"1214",3066,358,3
"1215",9425,3237,2
"1216",1727,2236,1
"1217",8500,4566,4
"1218",4528,2534,3
"1219",1203,6621,1
"1220",6992,5230,5
"1221",8572,4891,4
"1222",8212,2937,4
"1223",3322,551,3
"1224",2300,6421,1
"1225",1024,5635,1
"1226",3977,6248,1
"1227",2555,733,3
"1228",8484,180,4
"1229",8262,2963,4
"1230",8808,1322,2
"1231",6934,5151,5
"1232",8816,295,4
"1233",4056,2701,3
"1234",3780,843,2
"1235",9214,4501,4
"1236",1227,6608,1
"1237",3653,934,2
"1238",6003,1061,2
"1239",6375,1501,2
"1240",8002,261,4
"1241",4123,2762,3
"1242",1009,5590,1
"1243",6340,1701,2
"1244",9630,3379,2
"1245",1197,5725,1
"1246",1202,6621,1
"1247",1257,6605,1
"1248",8200,2939,4
"1249",5622,4240,4
"1250",3186,2293,3
"1251",4460,2846,3
"1252",4437,2895,3
"1253",8887,3293,2
"1254",3018,351,3
"1255",1822,5886,1
"1256",1234,6645,1
"1257",1018,5586,1
"1258",6314,1709,2
"1259",6532,5001,5
"1260",8053,261,4
"1261",6036,1053,2
"1262",6900,5192,5
"1263",7500,3787,2
"1264",4710,2422,3
"1265",6982,5141,5
"1266",6055,1401,2
"1267",2565,738,3
"1268",4455,2869,3
"1269",3632,770,2
"1270",1205,6621,1
"1271",6020,1024,2
"1272",3715,561,2
"1273",3005,351,3
"1274",9105,3003,2
"1275",1227,6608,1
